Semana,Município,Incidencia
2025-07-13,PALMA SOLA,0.0
2025-07-13,ALTO BELA VISTA,0.0
2025-07-13,SÃO MARTINHO,0.0
2025-07-13,BRUSQUE,0.7058358508145346
2025-07-13,VARGEÃO,0.0
2025-07-13,VIDAL RAMOS,0.0
2025-07-13,BRAÇO DO NORTE,0.0
2025-07-13,BOM JESUS DO OESTE,0.0
2025-07-13,TREZE DE MAIO,0.0
2025-07-13,PALMITOS,0.0
2025-07-13,IÇARA,0.0
2025-07-13,MARACAJÁ,0.0
2025-07-13,LUZERNA,0.0
2025-07-13,BOMBINHAS,94.2005242463958
2025-07-13,ABELARDO LUZ,0.0
2025-07-13,ANITÁPOLIS,0.0
2025-07-13,XANXERÊ,3.921722420487078
2025-07-13,VARGEM BONITA,0.0
2025-07-13,LONTRAS,0.0
2025-07-13,SANTA ROSA DE LIMA,0.0
2025-07-13,JAGUARUNA,0.0
2025-07-13,CAIBI,0.0
2025-07-13,PALHOÇA,13.522764729248895
2025-07-13,PAPANDUVA,0.0
2025-07-13,ABDON BATISTA,0.0
2025-07-20,SALTINHO,0.0
2025-07-20,DIONÍSIO CERQUEIRA,0.0
2025-07-20,POUSO REDONDO,0.0
2025-07-20,LAGES,0.0
2025-07-20,CUNHA PORÃ,0.0
2025-07-20,GUABIRUBA,0.0
2025-07-20,PORTO UNIÃO,0.0
2025-07-20,ASCURRA,0.0
2025-07-20,ROMELÂNDIA,0.0
2025-07-20,ABDON BATISTA,0.0
2025-07-20,TREZE DE MAIO,0.0
2025-07-20,JACINTO MACHADO,0.0
2025-07-20,INDAIAL,12.61051717132088
2025-07-20,LAJEADO GRANDE,0.0
2025-07-20,PRESIDENTE NEREU,0.0
2025-07-20,ERMO,0.0
2025-07-20,SÃO BENTO DO SUL,0.0
2025-07-20,MORRO DA FUMAÇA,0.0
2025-07-20,SÃO FRANCISCO DO SUL,28.610666056305792
2025-07-20,DOUTOR PEDRINHO,0.0
2025-07-20,IMARUÍ,0.0
2025-07-20,RIQUEZA,0.0
2025-07-20,LUZERNA,0.0
2025-07-20,PRESIDENTE GETÚLIO,0.0
2025-07-20,SÃO BERNARDINO,0.0
2025-07-20,SÃO CARLOS,0.0
2025-07-20,BALNEÁRIO BARRA DO SUL,13.436345314074572
2025-07-20,NOVA ERECHIM,0.0
2025-07-20,CUNHATAÍ,0.0
2025-07-20,VARGEM,0.0
2025-07-20,GRÃO-PARÁ,0.0
2025-07-20,GRAVATAL,0.0
2025-07-20,IBIAM,0.0
2025-07-20,CURITIBANOS,0.0
2025-07-20,IMBUIA,0.0
2025-07-20,SALETE,0.0
2025-07-20,LAGUNA,0.0
2025-07-20,MAFRA,0.0
2025-07-20,RODEIO,0.0
2025-07-20,SÃO BONIFÁCIO,0.0
2025-07-20,SÃO DOMINGOS,0.0
2025-07-20,ABELARDO LUZ,0.0
2025-07-20,BALNEÁRIO CAMBORIÚ,34.27690022565626
2025-07-20,AURORA,0.0
2025-07-20,MAJOR GERCINO,0.0
2025-07-20,GUARACIABA,0.0
2025-07-20,GOVERNADOR CELSO RAMOS,0.0
2025-07-20,DESCANSO,0.0
2025-07-20,ITAIÓPOLIS,0.0
2025-07-20,IMBITUBA,0.0
2025-07-20,NAVEGANTES,11.27967965709774
2025-07-20,ARVOREDO,0.0
2025-07-20,GUATAMBÚ,0.0
2025-07-20,SUL BRASIL,0.0
